CVE-ID,Description,CVSS Base Score,AV,AC,PR,UI,S,C,I,A
CVE-2010-0109,DBManager in Symantec Altiris Deployment Solution 6.9.x before DS 6.9 SP4 allows remote attackers to cause a denial of service via a crafted request.,6.5,AV:A,AC:L,PR:N,UI:N,/S:U,/C:N,/I:N,/A:H
CVE-2010-0206,xpdf allows remote attackers to cause a denial of service (NULL pointer dereference and crash) in the way it processes JBIG2 PDF stream objects.,5.5,AV:L,AC:L,PR:N,UI:R,/S:U,/C:N,/I:N,/A:H
CVE-2010-0207,"In xpdf, the xref table contains an infinite loop which allows remote attackers to cause a denial of service (application crash) in xpdf-based PDF viewers.",5.5,AV:L,AC:L,PR:N,UI:R,/S:U,/C:N,/I:N,/A:H
CVE-2010-0398,The init script in autokey before 0.61.3-2 allows local attackers to write to arbitrary files via a symlink attack.,6.5,AV:N,AC:L,PR:L,UI:N,/S:U,/C:N,/I:H,/A:N
CVE-2010-0467,Directory traversal vulnerability in the ccNewsletter (com_ccnewsletter) component 1.0.5 for Joomla! allows remote attackers to read arbitrary files via a .. (dot dot) in the controller parameter in a ccnewsletter action to index.php.,5.8,AV:N,AC:L,PR:N,UI:N,/S:C,/C:L,/I:N,/A:N
CVE-2010-0737,"A missing permission check was found in The CLI in JBoss Operations Network before 2.3.1 does not properly check permissions, which allows JBoss ON users to perform management tasks and configuration changes with the privileges of the administrator user.",8.0,AV:A,AC:L,PR:L,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2010-0747,"drbd8 allows local users to bypass intended restrictions for certain actions via netlink packets, similar to CVE-2009-3725.",7.8,AV:L,AC:L,PR:L,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2010-0748,Transmission before 1.92 allows an attacker to cause a denial of service (crash) or possibly have other unspecified impact via a large number of tr arguments in a magnet link.,9.8,AV:N,AC:L,PR:N,UI:N,/S:U,/C:H,/I:H,/A:H
CVE-2010-0749,Transmission before 1.92 allows attackers to prevent download of a file by corrupted data during the endgame.,5.3,AV:N,AC:L,PR:N,UI:N,/S:U,/C:N,/I:N,/A:L
CVE-2010-1323,"MIT Kerberos 5 (aka krb5) 1.3.x, 1.4.x, 1.5.x, 1.6.x, 1.7.x, and 1.8.x through 1.8.3 does not properly determine the acceptability of checksums, which might allow remote attackers to modify user-visible prompt text, modify a response to a Key Distribution Center (KDC), or forge a KRB-SAFE message via certain checksums that (1) are unkeyed or (2) use RC4 keys.",3.7,AV:N,AC:H,PR:N,UI:N,/S:U,/C:N,/I:L,/A:N
CVE-2010-1324,"MIT Kerberos 5 (aka krb5) 1.7.x and 1.8.x through 1.8.3 does not properly determine the acceptability of checksums, which might allow remote attackers to forge GSS tokens, gain privileges, or have unspecified other impact via (1) an unkeyed checksum, (2) an unkeyed PAC checksum, or (3) a KrbFastArmoredReq checksum based on an RC4 key.",3.7,AV:N,AC:H,PR:N,UI:N,/S:U,/C:N,/I:L,/A:N
